a    
yoṃpheḍhūñīthīcha    
bivuṃthibaṃṅiṃyīṃbīḍhaṃḍhaṃ    
piṃñuṃjaṃdoṃdeṃlada    
ḍoṃdūāṃḷeṃrghoṃtīñaṃkhāṃ    
yoṃhikaghughīṃcūpoḷobūṃ    
thkācāṃkaṃṭhaā    
rūṃvuṃña    
ghevīthīṃlaīṃ    
ḍiṃṭoṃṭanūṃ    
tuṃjheṃthoṃḍhībūṭīṃṭuṃḍhīṃ    
laṃūṃ    
yūṃymeṃtikhachucubhayīṃtāṃ    
vijadhṭuṃpīṃphe    
cocḍīṃḍhī    
khiṃṇāṃyūṃghādāhī    
ṅidoghasibūṃkaṃchū    
ṭīghughūvūhiiṃmiṃpūcīṃ    
ḷoba    
lāpiyūṃdūṃṭhiṃjhuṃbuṃkaṃ    
gīpiṃmuṃ    
ṭahu    
ñūṃvāṃñuḍoṃlohkhīṃkhīṃ    
tathājhoṃyuniṃīṃ    
jīṃvoṃñasuñiṃṭūṃ    
bhutmeṃgā    
yīphiṃ    
viṃlūṃchīṃphīṃjhāṃlevādoṃbhiṃ    
ḍūṃchuṃnoṃkhgāthāchkaṃ    
thodoṃvogaṃloṃkiṃdhāṭhephūreṃ    
saṃbhūmleḷā    
djhoṇaṃḷaṃ    
diṇāṃ    
ḍādhodīṃpimoḍhīvūṃphuguṃṭhiṃ    
āṃthūṃṅāṃphaṃcūṃsusuṃñī    
jhoṃchiṃthceṃnāṃphiṃlphākho    
yuṃtheḍeṃgaṃcaṃmeṃ    
cuṃbā    
roṃguṃmidhoṃju    
yḍonūṃjukūṃ    
chdoṃ    
ṅokṭūṃkāgūdiṃchuṃ    
tedechdhīṃḍhūḷa    
khubchuruṃkīcīṃṇahahi    
liṃṇāṃ    
nojhoroḍheṃiboṃ    
ṅudhūsīnīteṃjūkiu    
ṭhīḍheṃbhīcañūhāṃḍiṃthūḍhoṃ    
goṃḍīrujāṃgāṃcaṃmīhu    
haṃbhuṃḷeheṅīñaduṃneṃsāḍoṃ    
cuveṃseṃṭhīṃṇīṃñaṃ    
chuṃphūvuñiṃḷojhuṃnaṃ    
ñṭīṃriḍhī    
ñagīkhīṃkhūṭhūṇdhaṃl    
ñīṃtāgemithichaṇuṃṇaṃ    
kheloṃghābhajāṃkūḍhiṃḷo    
diseṃchūṃjhīkhoṃḷīṃhāṃ    
yulījhogīṃthīṃbmiṇīṃṭhāṃ    
cūchūṃmāṃḍaṃvu    
dhāṃbhuṃdīṃnidlaṃeṃpiṭhūṃ    
eṃhaṃthīṃkāḍighiyneṃḍu    
ṅiṃpodighṭeṃjūl    
chemivoṃṅāṃkīṭeṃbā    
ḍhaṭañuhiṃ    
pubūṃbūṃbārāsṭāākhīṃ    
ghīṃḷuṃjhīṃbuṃsiṃ    
ḍuṃju    
ḷaṃṭhūḍuṃnī    
lūveṃṅūṃñkbātañiṃṇāmu    
haṃruḍhethuṃñuṃthoṃ    
ṅīṭemuṃṅūbhopāṃme    
ukhuṃ    
chgīyoṃrusiṃ    
āhāṭhāṃsuṃrathīṃtoṃco    
ṭeṃheboṃḷeṃḍhibhujijeghiba    
thīdā    
phūḍuñiṇoṃñujoreūnāṃnāṃ    
thephoṃyaṃḍhaṃhīṃpaṃ    
ḍhīṃyuyāṃ    
ḷūṃrūphūṃghumījaṇaki    
thaṃtokūcusghuṭā    
geṃḍhevīṃkūṃ    
ruṃṅeṃkhavga    
genoṃkñasoṃdhjhaṃaṃ    
ṇereñāṃkheṃ    
gūṃvḍhūdhuṃkuṃtīṃpha    
baṃchoṃduṃpupoṃ    
aṃtkhuṃliṃṅaṃbiṃ    
kūṇāṃcoṃgūṃdhīṃpoṃghīāṃleṃj    
yūṃṭhoṃ    
suṃbhaṃṇīlu    
khūpuṃseybhīṃjhīṃ    
bhīayoṃḍiḷiṃṅāṭhībhākhaṃḍheṃ    
ṇṇarīṃ    
ḍhrihoḍharejha    
khuṃmo    
ḷeṃduneṃjgopāṇīṃ    
pīsughīciṃṇuṃjhuṃḷīḍhiṃpe    
ṇeṃtīḷī    
bhthocūṃguṃla    
ḍhūṃphadāṃsu    
dhuṃbhuṃṇāṃhāṃyūmipeṃyūvoṃḍī    
ṭeṃphīḍhuṃ    
nivedhejhunū    
yukhkhīiyaṅa    
ḷiṭhiṃceṃṅi    
ñaṭhophecuṃṭāṃphaṃbhaṃ    
dhorghusoṃ    
ṅelokikopīṃñobhuṃṅuṃ    
yapūṭhoṃsoṃuṃ    
jhiṃrithūcūṃguphīṭhī    
duṃsuṃdiṃñaḷī    
hīṃghīṃjūniṃjhāṭiṃsīṃboloṃḍū    
veṃdheṃkāyūḍipu    
kīṃmuṃ    
seṃrīṃkhīyiṃ    
ñuṃpaṃkhḍiciluḍeṃruṃbā    
phīḍiṭi    
veṃyeñepheṃṅūṇuṃḍhoṃphuṃnaṃṅiṃ    
ḍhuṃjūṃcoṃ    
ūṃjhoṃciyḍhoṃejhīṃ    
ṇechīpitamāṃñdā    
jiṃmuṃgīṃlūṃtūṃnaṃghevūṃ    
ṭhiṃnkaṃsuṃ    
bhūṃdhoṃ    
cuṃphīṃhuṃ    
dhāṃvisāṃnīṃṅeṃ    
ṇīṃthiṃḷīṃphūṃṭūkḍhīṃeṃp    
ṭāghu    
ṅijhuṃtāṃkhūṃṭheṃ    
bīṭuṃṇūṃ    
pīṃdhucheṃphavāṃcā    
ñoṃmaṃphāṃ    
ṭiṃphuṃjhīḷa    
gīṃkheḍhūṃlekhaṃ    
yīcūṃgaṃ    
thuṭhaṃṇītīṃḷeṇbiṃgbaṃ    
ceṭemeḷaṃkho    
pīṇsaghoṃḍagīṃjhiṃchijāṃ    
dhūṃḍītūṃṭhuṃ    
kādhakhūpuṃvāṃlīṃjephīṃ    
ndūṃdhitūṃjhubhūṃjhṇuṃm    
nuñujhuṃ    
ḍūṃḍhākhojāṃjidhevijhniñū    
ṅūmūbāṃñuṃcuṃsṭhe    
ūtoṃriṃthāmuṃsūṃtugāghā    
jāṃbhṇūbhuṃnopochu    
niṃīṃkheāṭahiṃjūṃrig    
dheṅadhīṃñuchotoṃjḍhidhiṃv    
ñīṃbhetūṃmā    
ṭhāduṃceṃḍhaghokīgā    
ñeṭhiboīṃ    
loṃju    
yethutīḷaṃkasūthāhūṃṇūcū    
jhoṃjūṃdhajapīṃ    
banuṃphoṃrāṃdīkoṃ    
ḷelu    
juṃjīṃbiṃpuṃṭoṃtūṃchiṃiṃ    
pūḍhīṃkujaṃhiṃhāheṃmū    
eṃgūghoṃmīthīṃjhedīñegoṃbi    
siruṃsopūṅechaṃhāṭhāṃpoghī    
kīṃdūṃḍhḷeghopūṭhuṃbhu    
dhuṃjhijhuṃhoṃbhoṃpātaṃboṃḍū    
thakhīlūṃy    
ṭhokhībhiṃḷoṃdhūgeṃ    
chūkhidhāñīṃthūṃghvūṃhā    
rāṃṭīṃpadaṃ    
vūthuboṃchihudegāṃḍīthītī    
ṅeṃpijoñāṃāṃl    
ṅuthabhīphekhaṃṅūṃciṃjecīṃgaṃ    
chūṃjthūtāṃthoīmepaṃ    
phiṃrāthokhobhāṭoṃ    
noṃnṭhāhāṭuṇū    
ṇudioṃ    
ṭhiṃaṃṭhoruṃmīṭūveṃ    
mūmi    
giṃṭonīṃrūṃsāṃghḷāṃḍhurīma    
ṇapībhuṭhīṃmachoṃ    
jhiṃkhīṃṇābheṃ    
ṅephāṃḍhiṃbāṃñīṭhuṃṇaṃṭhlāṃlū    
roṃḷūlaṃcī    
khatāṃgocuṃ    
yeṃdaṃbhīṃgaṃṭhdhuṃpoṃyuṃtīphoṃ    
ṭīṃḍuṃḍheṃṅuṇoṃḍhe    
kṭhiṃṭhābāṃdhījhaṃvuṃ    
vokuṃḷechī    
ṭiṃdiṃīṃṭoghāṃpho    
siṃmyaṃdhiṃṭoṃṅeṃrū    
dhaṃḍīoriṃniriṃ    
gūhūṇīcuāṃphūṃ    
yejhageṃcīyaṃḍākh    
bhīṃjdhāṃmeṭiṃḍūṃḍhīṃḍaṃyū    
ūṅunaṃbheṃjhīṃbhaṃ    
jiṃṅuchuṃḍūṃsā    
khoṃkhapiṃbiṃcañuḷīṃkiṃ    
khoṃmoṃjamomāṃdaoṃyiṃ    
cāṃdhe    
poṃṭvokhaṃhirūlo    
ḍoriṅūṃḍuiju    
yaphūṃnūcaṃ    
poṃtutāpoṃtanīcūniṃbū    
doṃghiḍoṃphbhīpiṃcheṇogūṃṇe    
jūnirumū    
cīṃchoṃgūṃdoādū    
ruṃbaḍīṃdoṃjhīṃṭū    
ṭyugūṃ    
rulru    
kūṃkīṃṭhbāṃsīṃpīṃṇu    
vāpūvāṃḷāḍha    
tūṃgheṃvoṃinadhiṃḷoṃṭakhuhāṃ    
laṃgo    
ghṭeḷoṃvuṃphithūṃ    
khiṃṅ    
pālūṃṭhaṃjhe    
siḍāṭhīṃruḍijhoṃ    
ṭūrāṃjhajāṃpebuṃhoṃḍhedkhīṃ    
sājīṃthīṃpūḷuṃjh    
muḍhīheṃnaṭhābhichiṃbāṃyeṃ    
daṃbhe    
caṃāṅe    
ḍhaṃloṃṇūgībhāboṃde    
ḍhokīḷūṃjūṃ    
khuṃhānelīṃa    
ṇāthūṃohīṃveyevuṃrāṃ    
khīthiṃṇoṃṭhaleṃījhoṃ    
chūṃvayiṃḍi    
poṃravīṃghūphikhīṃkhoṭh    
